country,isic2,upstreamness,downstreamness,u_n,u_d,d_n,d_d,dd_logU,centrality
IDN,21,1.675788507230745,1.870057481564952,22476818.63812461,8578357.854885109,10466154.92755795,5171767.177589372,.51628381,.89611602
IDN,22,2.540177531689981,2.334633583692383,12272041.59013244,4683306.354047916,5714579.267000485,2823059.495373067,.93223399,.91908282
IDN,23,2.246437268862854,2.243750798318104,12270154.28131234,4683293.539074095,5709694.50193119,2821077.489022832,.80934554,.99880409
IDN,24,2.960011155718146,2.362268858271335,2438701.412154302,944305.3752582042,498685.4185414268,215949.5402725103,1.085193,.79806077
IDN,25,2.504685607776054,2.286815707240859,3561939.633144438,1380990.085055018,735794.374675016,318875.1294965333,.91816324,.91301507
IDN,26,1.919483625538984,2.551907151443355,5394118.794969137,2324004.222005453,5810396.534602659,2534929.165188774,.65205622,.75217611
IDN,27,2.36026775387579,2.178976200940928,9891528.974430319,4258490.572563109,10604677.32007564,4630626.791013478,.85877508,.92319024
IDN,28,2.012746392542368,2.574441869080936,5383976.435313355,2318570.938483173,5786701.90705445,2525977.584597927,.69950014,.78181857
IDN,29,1.707025695113094,2.287518652978672,5799785.419522192,3024890.656791133,6594427.798422221,3233160.274447484,.53475249,.74623466
IDN,30,1.641555510713359,2.33859120909215,3980968.845716454,2075490.074810337,4512259.138923015,2214246.92135461,.49564427,.70194203
IDN,31,1.539410567556343,2.291681307074525,530276.0036979531,372681.5979779087,1690666.962133956,752355.0159113131,.43139958,.67173851
IDN,32,1.539410567556343,2.291681307074525,530276.0036979531,372681.5979779087,1690666.962133956,752355.0159113132,.43139958,.67173851
IDN,33,1.539410567556343,2.291681307074525,530276.0036979531,372681.5979779088,1690666.962133957,752355.0159113132,.43139958,.67173851
IDN,35,2.621723773165208,2.463863414295232,1526886.324223786,593026.7517529263,1124480.397250065,545369.3797218205,.96383202,.93978757
IDN,36,2.02192236420033,2.365254942987465,1514576.292194797,588344.1109433325,1118338.799704086,542374.1914030545,.70404875,.85484332
IDN,37,2.021922364200331,2.365254942987465,1514576.292194797,588344.1109433325,1118338.799704086,542374.1914030545,.70404875,.85484332
IDN,38,1.98642950113027,2.374747831376208,1460078.164482293,584250.399626193,1276315.38347645,598489.08949168,.68633878,.8364802
IDN,39,2.02192236420033,2.365254942987465,1514576.292194797,588344.1109433325,1118338.799704086,542374.1914030546,.70404875,.85484332
IDN,41,1.156799098027709,2.195441437015441,6191649.498343805,5701594.485598086,38312843.96701404,16482278.3852066,.14565679,.52690959
IDN,42,1.156799098027709,2.195441437015441,6191649.498343805,5701594.485598086,38312843.96701404,16482278.3852066,.14565679,.52690959
IDN,43,1.156799098027709,2.195441437015441,6191649.498343805,5701594.485598086,38312843.96701404,16482278.3852066,.14565679,.52690959
IDN,45,2.156219911712023,1.671967262471115,9995367.034213599,4436759.606969507,2869515.787202328,1838333.203432968,.76835662,.77541596
IDN,46,2.156219911712024,1.671967262471116,9995367.034213597,4436759.606969508,2869515.787202328,1838333.203432968,.76835662,.77541596
IDN,47,2.156219911712024,1.671967262471115,9995367.034213597,4436759.606969508,2869515.787202328,1838333.203432968,.76835662,.77541596
IDN,49,2.082836666147577,1.975666563939462,7542698.823621589,3460959.603719702,6162756.555087375,3024626.347221859,.73373073,.94854611
IDN,50,2.455608115221384,2.264585765961465,7506364.723433438,3442634.706856376,6134283.718969375,3009642.40812498,.89837444,.92220974
IDN,51,1.748779010098045,2.438999338261154,7519159.790329253,3451919.341381931,6190390.272727113,3032074.638444484,.55891782,.71700674
IDN,52,2.630575398128442,1.802825963374359,7516220.392399102,3446100.285391697,6129166.206954071,3008047.875668863,.9672026,.68533522
IDN,53,2.340712267728333,1.846228258212946,13745839.01377305,6305072.544175024,11229134.90969474,5510531.426709838,.85045528,.78874636
IDN,55,1.346203621280464,1.980547259783028,3184280.302681644,2307420.88762136,8596409.552299293,4296214.123562978,.29728851,.67971295
IDN,56,1.427464939258418,2.035095818471022,5809748.089854022,4207745.013117786,15690618.85288895,7840126.065492899,.35590011,.70142394
IDN,58,2.079568344624292,1.95108400843024,13958.49163461176,6718.226362573647,11547.97003858375,5919.102953128159,.73216033,.93821585
IDN,59,2.079568344624292,1.95108400843024,13958.49163461176,6718.226362573645,11547.97003858375,5919.102953128159,.73216033,.93821585
IDN,60,2.079568344624292,1.95108400843024,13958.49163461176,6718.226362573647,11547.97003858375,5919.102953128159,.73216033,.93821585
IDN,61,1.969963448120468,1.701047442740296,2654457.446453094,1243829.829708264,980425.3866428331,713773.2263677343,.67801499,.86349189
IDN,62,1.991172547594969,1.693554299066507,1826596.682437036,855947.1979867032,675125.682021089,491364.495661526,.68872368,.85053116
IDN,63,1.991172547594969,1.693554299066507,1826596.682437036,855947.1979867032,675125.682021089,491364.495661526,.68872368,.85053116
IDN,64,2.293950279443342,1.579648916736629,19201008.24859442,9519301.057884291,9734425.457817318,6504212.187362364,.83027536,.68861514
