country,isic2,upstreamness,downstreamness,u_n,u_d,d_n,d_d,dd_logU,centrality
KHM,84,1.194248061061669,2.139398723441871,72480.55293088885,65608.31925576231,224668.986346826,111306.9040612245,.17751674,.55821669
KHM,85,1.030116566161624,1.617422125581053,175810.9779344754,143936.5123571228,469180.4526571479,234272.5902778279,.029671967,.63688791
KHM,86,1.029764218017014,1.691132386764711,176083.5497462645,144206.0689205134,469878.6736860169,234666.8833474395,.029329861,.60891992
KHM,87,1.040677123517942,1.593357382666142,322265.9418172067,263832.9810483052,859983.9259027322,429415.8947006506,.039871581,.65313476
KHM,88,1.040677123517942,1.593357382666142,322265.9418172067,263832.9810483052,859983.9259027322,429415.8947006506,.039871581,.65313476
KHM,90,1.335977683779537,1.822024843177444,642.2426266014025,428.5098632185789,873.5008688416495,483.4830439751713,.28966337,.73323792
KHM,91,1.335977683779537,1.822024843177444,642.2426266014025,428.5098632185788,873.5008688416498,483.4830439751713,.28966337,.73323792
KHM,92,1.335977683779537,1.822024843177444,642.2426266014024,428.5098632185788,873.5008688416495,483.4830439751712,.28966337,.73323792
KHM,93,1.335977683779537,1.822024843177444,642.2426266014024,428.5098632185787,873.5008688416498,483.4830439751713,.28966337,.73323792
KHM,94,1.366584210373777,1.800740699533992,726.9683002827965,499.2730303797863,1018.701926958988,566.8721639973123,.31231436,.75890118
KHM,95,1.366584210373777,1.800740699533992,726.9683002827965,499.2730303797862,1018.701926958988,566.8721639973124,.31231436,.75890118
KHM,96,1.366584210373777,1.800740699533992,726.9683002827965,499.2730303797863,1018.701926958988,566.8721639973123,.31231436,.75890118
KHM,97,1.4429975372899,2.13226961758825,6321.3200249154,4380.686634287317,16159.04669467347,7578.331821353099,.36672258,.67674255
KHM,98,,,0,0,0,0,,
KHM,99,2.45773551432815,2.25060771130463,14015.25204055123,6655.538249070283,15273.58835858685,6825.038092941548,.89924037,.9157241
LAO,1,2.153214700658491,1.490425443080245,169814.1110395521,55438.17342633194,16347.8526394117,11970.35727743293,.76696193,.69218618
LAO,2,2.160870776978344,1.499630819609236,116867.2908505115,38168.82018234851,11294.7133440152,8266.109702331516,.77051127,.69399375
LAO,3,2.291775903351135,1.438980943185305,168118.5916577789,54602.92401307447,15261.2382303394,11348.21900191801,.82932705,.62788904
LAO,5,3.513034740546852,1.675904316636835,37210.09553484902,11913.74988615897,1360.893670686818,893.9207680979788,1.2564802,.47705317
LAO,6,3.513034740546851,1.675904316636835,37210.09553484903,11913.74988615898,1360.893670686818,893.9207680979788,1.2564802,.47705317
LAO,7,3.513034740546852,1.675904316636835,37210.09553484903,11913.74988615898,1360.893670686818,893.9207680979788,1.2564802,.47705317
LAO,8,3.513034740546852,1.675904316636835,37210.09553484902,11913.74988615898,1360.893670686818,893.9207680979788,1.2564802,.47705317
LAO,9,3.513034740546852,1.675904316636835,37210.09553484902,11913.74988615898,1360.893670686818,893.9207680979788,1.2564802,.47705317
LAO,10,1.397687172777047,2.165396741266663,18126.72221376753,12217.50591985151,72279.57507391274,31902.9776684923,.33481884,.64546472
LAO,11,1.397687172777047,2.165396741266664,18126.72221376753,12217.50591985151,72279.57507391274,31902.9776684923,.33481884,.64546472
LAO,12,1.397687172777046,2.165396741266663,18126.72221376752,12217.50591985151,72279.57507391274,31902.9776684923,.33481884,.64546472
LAO,13,1.437349449079861,2.06255186692277,4754.692418739197,3087.587617335095,23212.71924654564,9416.368578059482,.36280075,.69687915
LAO,14,1.437349449079861,2.06255186692277,4754.692418739197,3087.587617335095,23212.71924654564,9416.368578059482,.36280075,.69687915
LAO,15,1.437349449079861,2.06255186692277,4754.692418739197,3087.587617335094,23212.71924654564,9416.368578059481,.36280075,.69687915
LAO,16,2.653745404441819,2.030485788032428,33546.75046398857,12691.50135617844,5886.709037246848,2466.503754521535,.975972,.76513964
LAO,17,2.449777619533752,2.052003534211694,33293.09023400999,12584.43023384127,5829.569778823052,2437.49762276296,.89599723,.83762848
LAO,18,2.449777619533752,2.052003534211693,33293.09023400999,12584.43023384127,5829.569778823052,2437.49762276296,.89599723,.83762848
LAO,19,2.041697004230137,2.279839343004315,51222.0122100213,20280.37773379512,30244.01287981184,13252.91791278356,.7137813,.89554423
LAO,20,2.861429778050378,2.040856452953292,51195.54530654662,20252.88915510867,30082.55165669174,13184.16586520224,1.0513214,.7132296
LAO,21,1.329131471201478,1.85764450418992,93685.4452858889,37075.45277492735,55129.72837249004,24162.67157862846,.28452569,.7154929
LAO,22,2.475125076243179,2.32506266862214,51117.04337837175,20225.33474718444,30065.59496715887,13173.9685290402,.90629095,.93937176
LAO,23,2.198820388162594,2.031100217342097,51351.52168381973,20334.24529416472,30095.81136797386,13191.82939749156,.78792101,.92372268
LAO,24,2.470871927732583,2.586697903093409,17862.34087104043,6283.489798264002,2487.617969405958,1081.020922481988,.90457112,.95522243
LAO,25,1.695283786537215,2.452605796903323,26006.92515101517,9158.406869992958,3680.933586411795,1600.439849006419,.52785015,.69121742
LAO,26,1.627393998568667,2.262337261453544,52173.15043755591,27824.79313661569,86260.99235315052,37336.83319595494,.48697996,.71934193
LAO,27,1.801326194948752,2.528222623799175,95635.57470876648,51002.45137675803,158121.091714098,68439.51476938206,.58852315,.71248716
LAO,28,1.64683031520214,2.050011915602514,52162.20960449868,27818.05444834095,86241.73278041022,37328.31960051269,.49885243,.8033272
LAO,29,1.496333645051119,2.802363729119973,13617.56222654402,8647.765418953171,56460.27907808193,20907.3348986073,.40301788,.53395414
LAO,30,1.465753620938342,2.35840483935091,9362.07024213652,5945.329644194593,38814.44349340336,14373.19578031328,.38236952,.6215021
LAO,31,1.412085898314721,1.999813939236697,8989.479818445281,4562.205033399631,13322.67538651321,5840.701715078229,.34506798,.70610863
LAO,32,1.412085898314721,1.999813939236697,8989.479818445281,4562.205033399631,13322.67538651321,5840.701715078229,.34506798,.70610863
LAO,33,1.412085898314721,1.999813939236697,8989.479818445281,4562.205033399631,13322.67538651321,5840.701715078229,.34506798,.70610863
LAO,35,2.477036933037462,1.618620048621396,96168.57990283483,38912.57477433907,18551.3274865561,13388.02076673642,.90706307,.65345013
LAO,36,2.235147017814101,1.526134886310179,94474.6719787536,38328.30531661092,18002.22863791656,13100.47351405174,.80430698,.6827895
LAO,37,2.235147017814101,1.526134886310179,94474.6719787536,38328.30531661092,18002.22863791656,13100.47351405174,.80430698,.6827895
LAO,38,2.200951217490439,1.614828683383245,87928.91740978633,35861.55773600349,22535.83445544893,14338.00253779166,.78888965,.73369581
LAO,39,2.235147017814101,1.526134886310179,94474.67197875358,38328.30531661092,18002.22863791656,13100.47351405174,.80430698,.6827895
LAO,41,1.186578355675214,2.482954323311025,76849.47064123074,54127.17946766084,151249.0630896203,79305.40485982351,.17107384,.47788972
LAO,42,1.186578355675214,2.482954323311025,76849.47064123074,54127.17946766084,151249.0630896204,79305.40485982351,.17107384,.47788972
