hs4,year,month,pred_exposure,notif_count
0208,2025,1,0.010264958636304668,1
0208,2025,7,0.022459603607137286,2
0208,2025,12,0.010177106725601391,1
0209,2021,2,0.015881057714247453,1
0209,2021,5,0.02225565055333716,1
0209,2021,9,0.017167719929951628,1
0209,2021,12,0.04202714094552169,1
0209,2022,2,0.032044263856367654,1
0209,2022,4,0.013799312275740197,1
0209,2022,5,0.016283047504076057,1
0209,2022,8,0.02762023985394337,2
0209,2022,10,0.01404450961780484,1
0209,2023,1,0.06085820283158476,2
0209,2023,3,0.024707239464438122,1
0209,2023,8,0.04147726153329319,1
0209,2023,9,0.045739818079043586,1
0209,2023,11,0.006840561039511051,1
0209,2023,12,0.009330165429486935,1
0209,2024,1,0.007012280234123395,1
0209,2024,2,0.012948264035231999,1
0209,2024,3,0.019814238525851697,1
0209,2024,4,0.013180893683111298,1
0209,2024,9,0.00969799175855116,1
0209,2024,11,0.011059514633129139,1
0209,2024,12,0.012325517355554995,1
0209,2025,1,0.017384793397114347,1
0209,2025,7,0.03803771474638185,2
0209,2025,12,0.017236006892342996,1
0210,2021,2,0.00760098699296315,1
0210,2021,5,0.01065199267074542,1
0210,2021,9,0.008216808869684287,1
0210,2021,12,0.020115017363846716,1
0210,2022,2,0.015337015780303869,1
0210,2022,4,0.006604622626970175,1
0210,2022,5,0.0077933872233993135,1
0210,2022,8,0.013219590763403654,2
0210,2022,10,0.006721978903943494,1
0210,2023,1,0.029127934452564203,2
0210,2023,3,0.01182537140663739,1
0210,2023,8,0.019851834247504446,1
0210,2023,9,0.021891977759605146,1
0210,2023,11,0.0032740272355566997,1
0210,2023,12,0.004465600928337488,1
0210,2024,1,0.0033562154240373426,1
0210,2024,2,0.006197294178016575,1
0210,2024,3,0.009483484791781379,1
0210,2024,4,0.006308635309037201,1
0210,2024,9,0.004641649853616457,1
0210,2024,11,0.0052933015160246,1
0210,2024,12,0.005899235352382479,1
0210,2025,1,0.008320704506241353,1
0210,2025,7,0.018205599414824088,2
0210,2025,12,0.008249492354768542,1
0401,2021,6,0.03738043770120633,1
0401,2022,3,0.04934878421776624,1
0401,2022,12,0.04461749092035622,1
0401,2023,1,0.05148157047871239,1
0401,2023,4,0.06600603959925133,1
0401,2023,5,0.0686745889496628,1
0401,2025,7,0.032404275386087145,1
0402,2021,6,0.03405796571778765,1
0402,2022,3,0.04496253400074401,1
0402,2022,12,0.04065177054173859,1
0402,2023,1,0.0469057525884795,1
0402,2023,4,0.06013924855047078,1
0402,2023,5,0.0625706101899201,1
0402,2025,7,0.029524097845796234,1
0403,2021,6,0.03430430232177565,1
0403,2022,3,0.04528774185444308,1
0403,2022,12,0.04094579923342058,1
0403,2023,1,0.0472450154762248,1
0403,2023,4,0.0605742275030327,1
0403,2023,5,0.0630231748484015,1
0403,2025,7,0.029737641604087834,1
0404,2021,6,0.03602268917909084,1
0404,2022,3,0.04755631620614353,1
0404,2022,12,0.04299687500243026,1
0404,2023,1,0.04961163447656118,1
0404,2023,4,0.06360853951022248,1
0404,2023,5,0.06618016065006363,1
0404,2025,7,0.031227273196670215,1
0405,2021,6,0.04291316738035703,1
0405,2022,3,0.05665296522426173,1
0405,2022,12,0.05122138673873839,1
0405,2023,1,0.05910142809497751,1
0405,2023,4,0.07577568374341792,1
0405,2023,5,0.07883920873080069,1
0405,2025,7,0.03720047647910407,1
0406,2021,6,0.017034873103160018,1
0406,2022,3,0.02248904316381893,1
0406,2022,12,0.020332915898016203,1
0406,2023,1,0.02346098853272531,1
0406,2023,4,0.030080025215411407,1
0406,2023,5,0.03129612653335591,1
0406,2025,7,0.014767155045486053,1
0409,2021,7,0.02876468372212029,1
0409,2021,10,0.03134324971432388,1
0409,2021,11,0.03909305964345872,1
0409,2022,6,0.033743201560526494,1
0602,2021,3,0.014179002318806437,2
0602,2021,4,0.01141671061012537,1
0602,2021,6,0.045654816849437035,3
0602,2021,8,0.03573263759417068,3
0602,2021,11,0.00918498622078948,1
0602,2022,2,0.01520212308583216,1
0602,2022,6,0.004449710656762064,1
0602,2022,10,0.011117609940896188,1
0602,2023,1,0.005053061241959599,1
0602,2023,3,0.00540043423371484,1
0602,2023,6,0.007188138330801371,1
0602,2023,8,0.011826429471242746,1
0602,2023,10,0.016018649530939788,2
0602,2024,6,0.0052733361045282584,1
0602,2024,7,0.005650002811852882,1
0602,2024,9,0.009183555893776512,1
0602,2025,1,0.009518849177955905,2
0602,2025,7,0.0080176532597729,2
0602,2025,8,0.00980623205702945,2
0602,2025,9,0.05735368326890368,4
0602,2025,11,0.0033404035126662506,1
0701,2021,3,0.01825508260287908,2
0701,2021,4,0.014698706619475924,1
0701,2021,6,0.058779343854141186,3
0701,2021,8,0.04600480599647987,3
0701,2021,11,0.011825421732559002,1
0701,2022,2,0.01957232296259064,1
0701,2022,6,0.005728882312852361,1
0701,2022,10,0.014313622584606061,1
0701,2023,1,0.006505679898721124,1
0701,2023,3,0.006952913245321984,1
0701,2023,6,0.009254533996066534,1
0701,2023,8,0.01522620858932431,1
0701,2023,10,0.020623578711600886,2
0701,2024,6,0.006789277836087651,1
0701,2024,7,0.00727422605045146,1
0701,2024,9,0.011823580225153632,1
0701,2025,1,0.01225526127444488,2
0701,2025,7,0.010322512067317133,2
0701,2025,8,0.012625258970910623,2
0701,2025,9,0.0738413184589517,4
0701,2025,11,0.0043006793199962595,1
0702,2021,3,0.023576215404646945,2
0702,2021,4,0.018983199417340363,1
0702,2021,6,0.0759128020505634,3
0702,2021,8,0.05941464300199569,3
0702,2021,11,0.015272387207584254,1
0702,2022,2,0.025277415182036966,1
